iso3,year,gdp_pc_const2015,population,n_loans,total_loan_amount,kiva_active,log_gdp_pc,log_population,c_log_gdp_pc,c_log_gdp_pc_sq,institutional_pca1,institutional_index,financial_access_index
BWA,2017,6662.57644805467,2266747.0,0.0,0.0,0,8.804261542787957,14.633856322026672,0.038180057885412566,0.0014577168201334542,1.5511460421923764,1.3492626044986966,0.0372224621535752
CAF,2013,349.821171688973,4642419.0,0.0,0.0,0,5.857422085878639,15.350746124560827,-2.9086593990239056,8.460299499530107,,,
CAF,2014,351.561554911625,4623182.0,0.0,0.0,0,5.8623848165778485,15.346593770570962,-2.903696668324696,8.43145434163994,,,
CAF,2015,366.322853938121,4629320.0,0.0,0.0,0,5.903515059151974,15.34792054702568,-2.862566425750571,8.1942865418344,,,
CAF,2016,376.858254120398,4713663.0,0.0,0.0,0,5.931869132982871,15.365975870741577,-2.834212351919674,8.032759655774049,,,
CAF,2017,387.35795131742,4793511.0,0.0,0.0,0,5.959349204342171,15.38277368627073,-2.8067322805603734,7.877746094739635,,,
CHE,2013,83914.0245080812,8089346.0,0.0,0.0,0,11.337548035912526,15.906058445223021,2.5714665510099817,6.612440222963171,,,
CHE,2014,85004.8134534,8188649.0,0.0,0.0,0,11.350463162732629,15.918259484957348,2.584381677830084,6.67902865670384,,,
CHE,2015,85265.06205193,8282396.0,0.0,0.0,0,11.353520060500577,15.929642856482122,2.587438575598032,6.694838382492773,,,
CHE,2016,85951.2234148345,8373338.0,0.0,0.0,0,11.36153524473918,15.940563168220848,2.5954537598366354,6.736380219450127,,,
CHE,2017,86362.360972862,8451840.0,0.0,0.0,0,11.36630722298666,15.949894727108234,2.6002257380841147,6.761173888995079,,,
