country_code,year,n_loans,total_loan_amount,gdp_pc_const2015,log_gdp_pc
ID,2013,28,15075.0,3055.2424600646877,8.024614233453086
ID,2014,1370,1264000.0,3170.7210301142886,8.061714295302249
ID,2015,1627,1302825.0,3288.222697255384,8.098102484191292
ID,2016,2442,1621225.0,3416.810051709715,8.136462661371946
ID,2017,747,633850.0,3553.519992623214,8.175693938429037
IL,2013,1,5750.0,35489.50865612469,10.476992400972282
IL,2014,64,261975.0,36129.3146105805,10.494859853869874
IL,2015,53,188300.0,36213.104148195795,10.497176325354271
IL,2016,43,168450.0,37093.78790654223,10.521204792703394
IL,2017,29,94975.0,37963.0491190696,10.544368574025672
IN,2013,107,88275.0,1399.4537980287025,7.243837295212063
IN,2014,2743,2692200.0,1484.3164068291328,7.302709613149857
IN,2015,2729,1695375.0,1583.998159079848,7.36770741017663
IN,2016,3529,1569550.0,1694.4653497382467,7.435122542173672
IN,2017,2129,681825.0,1788.6977031844576,7.4892430939286365
IQ,2013,17,43500.0,4504.826875373541,8.412904739864173
IQ,2014,962,2546825.0,4446.973432348619,8.399979016206505
IQ,2015,14,38725.0,4440.141892523674,8.398441612691235
JO,2013,116,114550.0,4556.52023716712,8.424314505310521
JO,2014,1343,1473700.0,4282.118728492385,8.362203196110489
JO,2015,1084,1224175.0,4042.756780975546,8.304682109774202
JO,2016,1065,1244350.0,3933.14704611068,8.27719515950577
JO,2017,559,615375.0,3940.7019918114484,8.27911415693202
KE,2013,428,179725.0,1413.9414252258257,7.254136420722831
KE,2014,17611,8263400.0,1450.5933820227672,7.279727980684497
KE,2015,23559,10257725.0,1489.1195977728398,7.305940350326721
KE,2016,20512,9629650.0,1517.97796057742,7.325134439126475
KE,2017,13334,6113425.0,1542.3377397337213,7.34105455720502
KG,2013,26,36550.0,1069.7840443871623,6.975212079410457
KG,2014,1642,2298075.0,1088.5821422950764,6.992631341580298
KG,2015,2211,2699650.0,1105.6519384426072,7.008190429517271
KG,2016,1381,1493675.0,1128.3161612818033,7.028481677609845
KG,2017,514,624350.0,1157.182757580675,7.053743672870573
KH,2013,343,288950.0,1376.295575959256,7.227150803535254
KH,2014,6259,4348000.0,1464.531158669268,7.289290442019108
KH,2015,7554,5061100.0,1547.320104443935,7.344279748653595
KH,2016,11593,5421775.0,1645.4667157812587,7.405779340759346
